OrthoRecord,Token,Normalized,Status,Comments
urn:cite:hmt:normalized.182,ἔργ᾽,ἔργα,rejected,
urn:cite:hmt:normalized.90,ἔργ᾽,ἔργα,rejected,
urn:cite:hmt:normalized.579,έρμ᾽,ἕρμ᾽,rejected,
urn:cite:hmt:normalized.1124,ἐσθ,ἐσθ᾽,rejected,
urn:cite:hmt:normalized.1152,ἐσθ,ἐσθ᾽,rejected,
urn:cite:hmt:normalized.388,ἐσθ,ἐσθ᾽,rejected,
urn:cite:hmt:normalized.280,έστηχ᾽,ἕστηχ᾽,rejected,
urn:cite:hmt:normalized.767,έστηχ᾽,ἕστηχ᾽,rejected,
urn:cite:hmt:normalized.649,ἐφ,ἐφ᾽,rejected,
urn:cite:hmt:normalized.1547,έφαθ᾽,ἔφαθ᾽,rejected,
urn:cite:hmt:normalized.1602,έφαθ᾽,ἔφαθ᾽,rejected,
urn:cite:hmt:normalized.458,έφατ᾽,ἔφατ᾽,rejected,
urn:cite:hmt:normalized.1581,ἡβῶμ,ἡβῷμ᾽,rejected,
urn:cite:hmt:normalized.79,ἢδ᾽,ἠδ᾽,rejected,
urn:cite:hmt:normalized.69,ἠδ᾽`,ἠδ᾽,rejected,
urn:cite:hmt:normalized.659,ἠδ`᾽,ἠδ᾽,rejected,
urn:cite:hmt:normalized.689,ἠδ`᾽,ἠδ᾽,rejected,
urn:cite:hmt:normalized.664,ἠδ`᾽᾽,ἠδ᾽,rejected,
urn:cite:hmt:normalized.1537,ἡμείβετ᾽,ἠμείβετ᾽,rejected,
urn:cite:hmt:normalized.1021,ἤ’ν,ἤν,rejected,
urn:cite:hmt:normalized.417,ἱδρωθ᾽,ἱδρῶθ᾽,rejected,
urn:cite:hmt:normalized.111,ϊκοίμεθ᾽,ἱκοίμεθ᾽,rejected,
urn:cite:hmt:normalized.202,ϊκοίμεθ᾽,ἱκοίμεθ᾽,rejected,
urn:cite:hmt:normalized.1618,ῗν᾽,ἶν᾽,rejected,
urn:cite:hmt:normalized.508,κ,κ᾽,rejected,
